Depth	NGAM 
m	API
23.42	83.3333
23.47	93.2203
23.52	76.2712
23.57	96.6102
23.62	71.6667
23.67	83.0508
23.72	76.2712
23.77	83.0508
23.82	72.8814
23.87	88.1356
23.92	94.9153
23.97	91.3793
24.02	71.1864
24.07	89.8305
24.12	81.3559
24.17	69.4915
24.22	91.6667
24.27	83.0508
24.32	101.667
24.37	86.4407
24.42	91.5254
24.47	72.8814
24.52	84.7458
24.57	96.6102
24.62	73.3333
24.67	79.661
24.72	103.39
24.77	72.4138
24.82	89.8305
24.87	70.6897
24.92	72.8814
24.97	83.3333
25.02	71.1864
25.07	64.4068
25.12	75
25.17	93.2203
25.22	96.6102
25.27	66.6667
25.32	89.8305
25.37	67.7966
25.42	69.4915
25.47	74.5763
25.52	-999
25.57	96.6667
25.62	72.4138
25.67	79.3103
25.72	96.6102
25.77	74.5763
25.82	80
25.87	88.1356
25.92	91.5254
25.97	75
26.02	89.8305
26.07	94.9153
26.12	72.8814
26.17	84.7458
26.22	94.9153
26.27	83.3333
26.32	98.3051
26.37	98.3051
26.42	84.7458
26.47	124.138
26.52	94.9153
26.57	66.1017
26.62	69.4915
26.67	65
26.72	94.9153
26.77	70
26.82	88.1356
26.87	76.2712
26.92	72.8814
26.97	76.6667
27.02	79.661
27.07	91.5254
27.12	81.3559
27.17	100
27.22	103.333
27.27	81.0345
27.32	94.9153
27.37	89.6552
27.42	77.9661
27.47	83.0508
27.52	86.6667
27.57	106.78
27.62	78.3333
27.67	69.4915
27.72	54.2373
27.77	53.3333
27.82	52.5424
27.87	59.322
27.92	77.9661
27.97	84.7458
28.02	81.6667
28.07	91.5254
28.12	77.9661
28.17	72.4138
28.22	96.5517
28.27	80
28.32	88.1356
28.37	90
28.42	86.4407
28.47	88.1356
28.52	71.6667
28.57	89.8305
28.62	84.7458
28.67	90
28.72	77.9661
28.77	77.9661
28.82	91.5254
28.87	79.661
28.92	89.8305
28.97	98.3051
29.02	68.9655
29.07	61.017
29.12	89.8305
29.17	85
29.22	81.3559
29.27	100
29.32	106.78
29.37	63.3333
29.42	71.1864
29.47	93.2203
29.52	56.6667
29.57	101.695
29.62	77.9661
29.67	84.7458
29.72	84.7458
29.77	84.7458
29.82	74.5763
29.87	103.448
29.92	100
29.97	94.9153
30.02	95
30.07	71.1864
30.12	91.6667
30.17	81.3559
30.22	91.5254
30.27	113.333
30.32	101.695
30.37	70
30.42	91.5254
30.47	96.6102
30.52	125.424
30.57	96.6102
30.62	96.6102
30.67	98.2759
30.72	77.9661
30.77	84.7458
30.82	96.6667
30.87	91.5254
30.92	95
30.97	83.0508
31.02	61.017
31.07	73.3333
31.12	94.9153
31.17	86.4407
31.22	88.1356
31.27	71.1864
31.32	96.6102
31.37	81.6667
31.42	100
31.47	71.1864
31.52	86.2069
31.57	84.4828
31.62	78.3333
31.67	100
31.72	74.5763
31.77	91.5254
31.82	80
31.87	96.6102
31.92	85
31.97	91.5254
32.02	84.7458
32.07	77.9661
32.12	78.3333
32.17	103.39
32.22	98.3051
32.27	55.9322
32.32	93.1035
32.37	117.241
32.42	91.5254
32.47	98.3051
32.52	100
32.57	63.3333
32.62	91.5254
32.67	93.2203
32.72	101.667
32.77	84.7458
32.82	91.5254
32.87	68.3333
32.92	89.8305
32.97	96.6102
33.02	83.0508
33.07	78.3333
33.12	93.1035
33.17	89.6552
33.22	77.9661
33.27	72.8814
33.32	90
33.37	84.7458
33.42	63.3333
33.47	88.1356
33.52	86.6667
33.57	72.8814
33.62	84.7458
33.67	70
33.72	66.1017
33.77	28.8136
33.82	57.6271
33.87	47.4576
33.92	63.3333
33.97	105.172
34.02	82.7586
34.07	72.8814
34.12	94.9153
34.17	76.6667
34.22	68.3333
34.27	88.1356
34.32	100
34.37	83.0508
34.42	86.6667
34.47	103.39
34.52	84.7458
34.57	63.3333
34.62	72.8814
34.67	94.9153
34.72	76.2712
34.77	101.695
34.82	83.0508
34.87	105.172
34.92	76.2712
34.97	77.9661
35.02	76.6667
35.07	67.7966
35.12	95
35.17	83.0508
35.22	80
35.27	93.2203
35.32	71.6667
35.37	113.333
35.42	101.695
35.47	91.5254
35.52	101.695
35.57	83.0508
35.62	88.1356
35.67	69.4915
35.72	75.8621
35.77	88.1356
35.82	58.3333
35.87	91.5254
35.92	100
35.97	81.6667
36.02	93.2203
36.07	88.1356
36.12	105
36.17	89.8305
36.22	101.695
36.27	83.0508
36.32	73.3333
36.37	89.8305
36.42	88.1356
36.47	62.7119
36.52	100
36.57	83.0508
36.62	98.3051
36.67	83.3333
36.72	76.6667
36.77	103.39
36.82	77.9661
36.87	85
36.92	73.3333
36.97	93.2203
37.02	101.667
37.07	62.7119
37.12	100
37.17	71.1864
37.22	81.6667
37.27	59.322
37.32	100
37.37	75.8621
37.42	111.864
37.47	77.9661
37.52	71.6667
37.57	78.3333
37.62	77.9661
37.67	93.3333
37.72	88.1356
37.77	96.6102
37.82	90
37.87	77.9661
37.92	67.7966
37.97	71.1864
38.02	76.6667
38.07	89.8305
38.12	98.3051
38.17	84.4828
38.22	98.3051
38.27	91.5254
38.32	80
38.37	72.8814
38.42	73.3333
38.47	72.8814
38.52	96.6667
38.57	64.4068
38.62	113.333
38.67	72.8814
38.72	89.8305
38.77	100
38.82	85
38.87	61.017
38.92	86.4407
38.97	69.4915
39.02	84.4828
39.07	86.4407
39.12	71.1864
39.17	69.4915
39.22	81.6667
39.27	73.3333
39.32	77.9661
39.37	76.6667
39.42	103.39
39.47	76.6667
39.52	108.475
39.57	78.3333
39.62	61.017
39.67	94.9153
39.72	59.322
39.77	56.6667
39.82	50
39.87	55.1724
39.92	67.7966
39.97	72.8814
40.02	90
40.07	73.3333
40.12	74.5763
40.17	95
40.22	81.3559
40.27	75
40.32	98.3051
40.37	96.6667
40.42	89.8305
40.47	98.3051
40.52	66.1017
40.57	94.9153
40.62	83.0508
40.67	91.5254
40.72	86.4407
40.77	94.9153
40.82	77.9661
40.87	83.0508
40.92	70
40.97	63.3333
41.02	93.3333
41.07	86.4407
41.12	81.3559
41.17	83.3333
41.22	84.7458
41.27	91.5254
41.32	81.3559
41.37	64.4068
41.42	73.3333
41.47	88.1356
41.52	74.1379
41.57	98.3051
41.62	103.39
41.67	93.2203
41.72	83.3333
41.77	106.78
41.82	76.6667
41.87	96.6667
41.92	91.5254
41.97	101.695
42.02	88.3333
42.07	88.1356
42.12	84.7458
42.17	103.39
42.22	86.6667
42.27	77.9661
42.32	83.0508
42.37	87.931
42.42	84.7458
42.47	100
42.52	83.0508
42.57	111.667
42.62	106.78
42.67	78.3333
42.72	81.3559
42.77	81.6667
42.82	59.322
42.87	101.667
42.92	94.9153
42.97	81.3559
43.02	96.6102
43.07	76.2712
43.12	73.3333
43.17	101.724
43.22	93.2203
43.27	83.0508
43.32	86.4407
43.37	94.9153
43.42	90
43.47	69.4915
43.52	70
43.57	101.695
43.62	85
43.67	93.2203
43.72	75
43.77	83.0508
43.82	61.017
43.87	84.7458
43.92	79.661
43.97	76.2712
44.02	86.4407
44.07	94.8276
44.12	96.6102
44.17	65
44.22	83.0508
44.27	78.3333
44.32	62.7119
44.37	91.6667
44.42	63.3333
44.47	81.3559
44.52	98.3051
44.57	93.3333
44.62	69.4915
44.67	74.5763
44.72	78.3333
44.77	76.2712
44.82	72.8814
44.87	82.7586
44.92	89.8305
44.97	76.2712
45.02	101.695
45.07	86.6667
45.12	94.9153
45.17	84.7458
45.22	100
45.27	79.661
45.32	80
45.37	83.0508
45.42	108.333
45.47	77.5862
45.52	88.3333
45.57	66.1017
45.62	80
45.67	74.1379
45.72	81.3559
45.77	50.8475
45.82	59.322
45.87	64.4068
45.92	66.6667
45.97	84.7458
46.02	115
46.07	88.1356
46.12	103.333
46.17	79.661
46.22	68.3333
46.27	98.3051
46.32	101.695
46.37	81.3559
46.42	105.085
46.47	94.9153
46.52	81.3559
46.57	72.4138
46.62	105.085
46.67	91.6667
46.72	94.9153
46.77	86.4407
46.82	91.6667
46.87	58.3333
46.92	77.9661
46.97	78.3333
47.02	115.254
47.07	88.1356
47.12	66.1017
47.17	91.6667
47.22	74.5763
47.27	91.5254
47.32	98.3051
47.37	79.661
47.42	67.2414
47.47	91.5254
47.52	100
47.57	75
47.62	76.2712
47.67	85
47.72	71.1864
47.77	50.8475
47.82	63.3333
47.87	86.4407
47.92	101.667
47.97	83.0508
48.02	76.2712
48.07	83.0508
48.12	66.1017
48.17	71.1864
48.22	94.9153
48.27	89.8305
48.32	77.9661
48.37	66.1017
48.42	86.4407
48.47	95
48.52	79.661
48.57	93.3333
48.62	94.9153
48.67	80
48.72	91.5254
48.77	71.6667
48.82	101.724
48.87	93.3333
48.92	86.4407
48.97	88.1356
49.02	89.8305
49.07	77.5862
49.12	91.5254
49.17	93.2203
49.22	84.7458
49.27	95
49.32	81.3559
49.37	103.333
49.42	93.3333
49.47	79.661
49.52	81.3559
49.57	90
49.62	89.8305
49.67	71.1864
49.72	86.4407
49.77	81.3559
49.82	80
49.87	89.6552
49.92	81.3559
49.97	79.661
50.02	94.9153
50.07	66.1017
50.12	80
50.17	72.8814
50.22	67.7966
50.27	91.6667
50.32	72.8814
50.37	113.333
50.42	76.2712
50.47	98.3051
50.52	108.475
50.57	83.0508
50.62	75
50.67	64.4068
50.72	94.9153
50.77	79.3103
50.82	98.3051
50.87	71.1864
50.92	96.6667
50.97	88.1356
51.02	68.3333
51.07	93.2203
51.12	93.3333
51.17	76.2712
51.22	66.6667
51.27	103.39
51.32	88.1356
51.37	79.661
51.42	120.339
51.47	93.2203
51.52	101.695
51.57	81.3559
51.62	105.085
51.67	72.8814
51.72	89.8305
51.77	69.4915
51.82	60
51.87	67.7966
51.92	65
51.97	78.3333
52.02	61.017
52.07	72.8814
52.12	86.6667
52.17	79.661
52.22	81.3559
52.27	81.3559
52.32	86.4407
52.37	83.0508
52.42	84.7458
52.47	77.5862
52.52	83.0508
52.57	61.6667
52.62	96.6102
52.67	88.3333
52.72	91.5254
52.77	88.1356
52.82	93.3333
52.87	67.7966
52.92	91.6667
52.97	88.1356
53.02	87.1179
53.07	87.1179
53.12	87.1179
53.17	87.1179
53.22	87.1179
53.27	87.1179
53.32	87.1179
53.37	87.1179
53.42	87.1179
53.47	87.1179
53.52	87.1179
53.57	87.1179
53.62	87.1179
53.67	87.1179
53.72	87.1179
53.77	87.1179
53.82	87.1179
53.87	87.1179
53.92	87.1179
53.97	87.1179
54.02	87.1179
54.07	89.083
54.12	89.083
54.17	89.083
54.22	89.083
54.27	89.083
54.32	89.083
54.37	89.083
54.42	89.083
54.47	89.083
54.52	89.083
54.57	89.083
54.62	89.083
54.67	89.083
54.72	89.083
54.77	89.083
54.82	89.083
54.87	89.083
54.92	89.083
54.97	89.083
55.02	89.083
55.07	89.083
55.12	89.083
55.17	89.083
55.22	87.1179
55.27	84.4978
55.32	84.4978
55.37	84.4978
55.42	84.4978
55.47	84.4978
55.52	84.4978
55.57	84.4978
55.62	84.4978
55.67	85.8079
