Depth	NGAM
m	API
25.20	112.8
25.25	98.4
25.30	103.2
25.35	103.2
25.40	117.6
25.45	100.8
25.50	70.5882
25.55	103.529
25.60	127.059
25.65	108
25.70	89.4118
25.75	82.3529
25.80	112.8
25.85	129.6
25.90	108
25.95	84.7059
26.00	96
26.05	122.353
26.10	127.2
26.15	98.4
26.20	86.4
26.25	110.588
26.30	89.4118
26.35	94.1177
26.40	93.6
26.45	75.2941
26.50	88.8
26.55	105.882
26.60	93.6
26.65	100.8
26.70	86.4
26.75	84.7059
26.80	136.8
26.85	96.4706
26.90	98.4
26.95	122.4
27.00	124.8
27.05	110.4
27.10	70.5882
27.15	139.2
27.20	82.3529
27.25	101.176
27.30	94.1177
27.35	62.4
27.40	94.1177
27.45	105.882
27.50	87.0588
27.55	108
27.60	91.2
27.65	100.8
27.70	91.7647
27.75	96
27.80	96
27.85	76.8
27.90	84
27.95	100.8
28.00	110.588
28.05	98.8235
28.10	96
28.15	87.0588
28.20	98.8235
28.25	112.8
28.30	103.529
28.35	100.8
28.40	88.8
28.45	89.4118
28.50	96
28.55	84.7059
28.60	105.6
28.65	88.8
28.70	91.2
28.75	70.5882
28.80	101.176
28.85	94.1177
28.90	112.8
28.95	103.529
29.00	72
29.05	94.1177
29.10	141.6
29.15	117.647
29.20	108
29.25	117.6
29.30	76.8
29.35	105.882
29.40	98.4
29.45	91.7647
29.50	112.8
29.55	105.6
29.60	108
29.65	84.7059
29.70	96
29.75	105.882
29.80	105.882
29.85	89.4118
29.90	67.2
29.95	108.235
30.00	101.176
30.05	132
30.10	96.4706
30.15	79.2
30.20	138.824
30.25	112.8
30.30	110.4
30.35	115.2
30.40	86.4
30.45	117.6
30.50	98.8235
30.55	105.6
30.60	105.882
30.65	101.176
30.70	82.3529
30.75	84
30.80	89.4118
30.85	103.529
30.90	67.2
30.95	96
31.00	98.4
31.05	87.0588
31.10	74.4
31.15	89.4118
31.20	86.4
31.25	93.6
31.30	120
31.35	101.176
31.40	105.882
31.45	108
31.50	91.7647
31.55	129.412
31.60	115.2
31.65	98.8235
31.70	86.4
31.75	91.2
31.80	110.4
31.85	110.588
31.90	74.4
31.95	101.176
32.00	79.2
32.05	110.4
32.10	122.4
32.15	129.412
32.20	112.8
32.25	122.353
32.30	108.235
32.35	110.4
32.40	91.7647
32.45	112.941
32.50	110.588
32.55	120
32.60	89.4118
32.65	120
32.70	129.412
32.75	110.4
32.80	91.7647
32.85	124.8
32.90	112.8
32.95	69.6
33.00	108
33.05	105.882
33.10	103.529
33.15	131.765
33.20	76.8
33.25	117.647
33.30	115.294
33.35	134.4
33.40	89.4118
33.45	86.4
33.50	103.2
33.55	110.4
33.60	89.4118
33.65	88.8
33.70	100.8
33.75	98.8235
33.80	112.941
33.85	91.2
33.90	110.588
33.95	101.176
34.00	120
34.05	110.4
34.10	82.3529
34.15	70.5882
34.20	103.2
34.25	81.6
34.30	127.2
34.35	72.9412
34.40	127.2
34.45	120
34.50	112.8
34.55	100.8
34.60	105.6
34.65	110.588
34.70	120
34.75	108
34.80	105.882
34.85	91.7647
34.90	98.4
34.95	84.7059
35.00	110.588
35.05	65.8824
35.10	120
35.15	117.647
35.20	103.529
35.25	120
35.30	98.8235
35.35	84
35.40	98.4
35.45	103.2
35.50	76.8
35.55	108.235
35.60	98.8235
35.65	124.706
35.70	94.1177
35.75	117.6
35.80	120
35.85	110.588
35.90	127.2
35.95	76.8
36.00	110.588
36.05	122.4
36.10	94.1177
36.15	110.4
36.20	110.4
36.25	98.8235
36.30	115.2
36.35	94.1177
36.40	108.235
36.45	122.353
36.50	108.235
36.55	115.294
36.60	88.8
36.65	101.176
36.70	91.2
36.75	127.059
36.80	129.6
36.85	93.6
36.90	108.235
36.95	108
37.00	120
37.05	129.6
37.10	141.6
37.15	108.235
37.20	98.4
37.25	108.235
37.30	110.588
37.35	72
37.40	96.4706
37.45	105.882
37.50	101.176
37.55	96.4706
37.60	79.2
37.65	129.6
37.70	110.588
37.75	105.882
37.80	76.8
37.85	76.8
37.90	93.6
37.95	129.412
38.00	115.2
38.05	84.7059
38.10	110.4
38.15	108.235
38.20	98.8235
38.25	79.2
38.30	115.294
38.35	105.882
38.40	96.4706
38.45	105.6
38.50	96
38.55	91.7647
38.60	108
38.65	98.8235
38.70	98.4
38.75	115.2
38.80	145.882
38.85	108
38.90	94.1177
38.95	136.471
39.00	110.588
39.05	110.588
39.10	94.1177
39.15	117.6
39.20	72.9412
39.25	105.6
39.30	105.882
39.35	105.6
39.40	117.6
39.45	82.3529
39.50	103.2
39.55	86.4
39.60	87.0588
39.65	134.4
39.70	80
39.75	94.1177
39.80	101.176
39.85	105.6
39.90	108.235
39.95	127.059
40.00	103.529
40.05	88.8
40.10	115.294
40.15	81.6
40.20	91.7647
40.25	82.3529
40.30	96
40.35	112.941
40.40	108
40.45	81.6
40.50	134.118
40.55	79.2
40.60	108.235
40.65	110.4
40.70	103.529
40.75	105.882
40.80	122.353
40.85	110.4
40.90	110.588
40.95	100.8
41.00	120
41.05	144
41.10	112.941
41.15	100.8
41.20	91.2
41.25	108.235
41.30	100.8
41.35	105.882
41.40	75.2941
41.45	112.941
41.50	110.588
41.55	72.9412
41.60	93.6
41.65	112.941
41.70	82.3529
41.75	141.6
41.80	84.7059
41.85	84
41.90	69.6
41.95	103.2
42.00	63.5294
42.05	94.1177
42.10	103.2
42.15	96
42.20	80
42.25	88.8
42.30	91.7647
42.35	96.4706
42.40	72.9412
42.45	101.176
42.50	98.4
42.55	87.0588
42.60	96
42.65	101.176
42.70	101.176
42.75	94.1177
42.80	105.882
42.85	100.8
42.90	93.6
42.95	96
43.00	87.0588
43.05	79.2
43.10	101.176
43.15	87.0588
43.20	88.8
43.25	70.5882
43.30	91.7647
43.35	112.941
43.40	93.6
43.45	124.706
43.50	91.2
43.55	105.882
43.60	136.8
43.65	110.588
43.70	110.4
43.75	103.2
43.80	91.7647
43.85	105.6
43.90	89.4118
43.95	89.4118
44.00	72.9412
44.05	94.1177
44.10	101.176
44.15	131.765
44.20	98.4
44.25	108.235
44.30	88.8
44.35	91.7647
44.40	103.2
44.45	117.6
44.50	110.588
44.55	81.6
44.60	124.8
44.65	105.882
44.70	105.6
44.75	112.941
44.80	75.2941
44.85	89.4118
44.90	110.4
44.95	87.0588
45.00	89.4118
45.05	76.8
45.10	80
45.15	93.6
45.20	89.4118
45.25	141.176
45.30	110.4
45.35	89.4118
45.40	88.8
45.45	91.2
45.50	131.765
45.55	117.6
45.60	138.824
45.65	117.6
45.70	143.529
45.75	117.647
45.80	88.8
45.85	84.7059
45.90	94.1177
45.95	122.353
46.00	120
46.05	117.6
46.10	105.882
46.15	105.882
46.20	72
46.25	112.8
46.30	112.8
46.35	77.6471
46.40	96
46.45	112.941
46.50	112.941
46.55	101.176
46.60	112.941
46.65	105.882
46.70	84.7059
46.75	101.176
46.80	110.4
46.85	122.4
46.90	96
46.95	110.588
47.00	120
47.05	105.882
47.10	91.2
47.15	57.6
47.20	91.7647
47.25	122.4
47.30	96.4706
47.35	103.529
47.40	103.529
47.45	96
47.50	87.0588
47.55	84.7059
47.60	84
47.65	124.706
47.70	134.4
47.75	101.176
47.80	68.2353
47.85	112.8
47.90	134.118
47.95	88.8
48.00	101.176
48.05	112.8
48.10	68.2353
48.15	84
48.20	112.941
48.25	105.882
48.30	67.2
48.35	94.1177
48.40	105.882
48.45	91.2
48.50	122.353
48.55	81.6
48.60	91.7647
48.65	88.8
48.70	98.8235
48.75	91.2
48.80	81.6
48.85	115.294
48.90	108
48.95	96.4706
49.00	96.4706
49.05	112.941
49.10	101.176
49.15	101.176
49.20	82.3529
49.25	103.529
49.30	122.4
49.35	110.4
49.40	108.235
49.45	103.2
49.50	136.8
49.55	122.353
49.60	122.4
49.65	129.6
49.70	112.941
49.75	124.8
49.80	103.529
49.85	94.1177
49.90	94.1177
49.95	110.4
50.00	120
50.05	108.235
50.10	110.4
50.15	103.529
50.20	124.8
50.25	94.1177
50.30	77.6471
50.35	96
50.40	103.529
50.45	94.1177
50.50	91.2
50.55	98.4
50.60	77.6471
50.65	74.4
50.70	103.529
50.75	96.4706
50.80	127.059
50.85	74.4
50.90	80
50.95	124.706
51.00	112.8
51.05	86.4
51.10	91.7647
51.15	87.0588
51.20	100.8
51.25	120
51.30	122.4
51.35	131.765
51.40	112.8
51.45	87.0588
51.50	84.7059
51.55	131.765
51.60	112.941
51.65	98.8235
51.70	94.1177
51.75	129.412
51.80	122.4
51.85	84.7059
51.90	86.4
51.95	124.8
52.00	84.7059
52.05	117.6
52.10	115.2
52.15	79.2
52.20	127.059
52.25	115.2
52.30	122.353
52.35	77.6471
52.40	89.4118
52.45	93.6
52.50	112.941
52.55	72.9412
52.60	96
52.65	110.588
52.70	108
52.75	105.882
52.80	96
52.85	103.529
52.90	96.4706
52.95	139.2
53.00	115.294
53.05	96
53.10	134.118
53.15	74.4
53.20	117.647
53.25	98.4
53.30	117.647
53.35	120
53.40	122.4
53.45	117.647
53.50	96.4706
53.55	127.2
53.60	100.8
53.65	98.8235
53.70	98.8235
53.75	98.4
53.80	108
53.85	98.4
53.90	103.529
53.95	79.2
54.00	120
54.05	70.5882
54.10	87.0588
54.15	84.7059
54.20	120
54.25	89.4118
54.30	110.588
54.35	98.8235
54.40	91.2
54.45	96
54.50	120
54.55	122.4
54.60	112.8
54.65	103.2
54.70	120
54.75	100.8
54.80	124.706
54.85	110.4
54.90	105.882
54.95	87.0588
55.00	115.294
55.05	91.7647
55.10	96
55.15	80
55.20	98.4
55.25	98.4
55.30	117.647
55.35	129.412
55.40	105.6
55.45	103.529
55.50	88.8
55.55	91.7647
55.60	91.2
55.65	117.647
55.70	98.4
55.75	101.176
55.80	105.882
55.85	79.2
55.90	122.353
55.95	84
56.00	96.4706
56.05	98.8235
56.10	127.2
56.15	105.882
56.20	136.8
56.25	89.4118
56.30	88.8
56.35	86.4
56.40	101.176
56.45	87.0588
56.50	92.3077
56.55	96.9231
56.60	99.2308
56.65	90
56.70	72.4528
56.75	96.4706
56.80	77.6471
56.85	105.882
56.90	67.2
56.95	105.882
57.00	62.4
57.05	82.3529
57.10	76.8
57.15	98.4
57.20	84.7059
57.25	98.4
57.30	72.9412
57.35	76.8
57.40	80
57.45	68.2353
57.50	75.2941
57.55	69.6
57.60	54.1177
57.65	58.8235
57.70	56.4706
57.75	48
57.80	16.4706
57.85	44.7059
57.90	40.8
57.95	47.0588
58.00	42.3529
58.05	38.4
58.10	40
58.15	43.2
58.20	25.8824
58.25	32.9412
58.30	33.6
58.35	35.2941
58.40	35.2941
58.45	19.2
58.50	30.5882
58.55	14.1176
58.60	19.2
58.65	35.2941
58.70	35.2941
58.75	21.1765
58.80	24
58.85	21.1765
58.90	33.6
58.95	33.6
59.00	25.8824
59.05	30.5882
59.10	21.1765
59.15	23.5294
59.20	16.4706
59.25	25.8824
59.30	32.9412
59.35	18.8235
59.40	40.8
59.45	18.8235
59.50	28.2353
59.55	16.8
59.60	25.8824
59.65	21.1765
59.70	21.6
59.75	31.2
59.80	40.8
59.85	42.3529
59.90	18.8235
59.95	35.2941
60.00	28.2353
60.05	35.2941
60.10	25.8824
60.15	33.6
60.20	25.8824
60.25	4.8
60.30	35.2941
60.35	21.1765
60.40	32.9412
60.45	37.6471
60.50	32.9412
60.55	24
60.60	25.8824
60.65	21.1765
60.70	32.9412
60.75	16.4706
60.80	31.2
60.85	44.7059
60.90	18.8235
60.95	33.6
61.00	35.2941
61.05	32.9412
61.10	42.3529
61.15	28.8
61.20	40
61.25	44.7059
61.30	30.5882
61.35	30.5882
61.40	36.7347
61.45	40.8
61.50	25.8824
61.55	42.3529
61.60	33.6
61.65	43.2
61.70	16.8
61.75	28.2353
61.80	32.9412
61.85	38.4
61.90	28.2353
61.95	40
62.00	21.6
62.05	54.1177
62.10	42.3529
62.15	28.8
62.20	35.2941
62.25	36
62.30	61.2245
62.35	64.8
62.40	40
62.45	37.6471
62.50	35.2941
62.55	32.9412
62.60	47.0588
62.65	36
62.70	42.3529
62.75	21.6
62.80	47.0588
62.85	33.9623
62.90	58.8235
62.95	37.6471
63.00	56.4706
63.05	36.9231
63.10	28.2353
63.15	26.4
63.20	49.4118
63.25	35.2941
63.30	25.8824
63.35	45.6
63.40	49.4118
63.45	56.4706
63.50	40
63.55	48
63.60	39.2308
63.65	60
63.70	49.4118
63.75	60
63.80	61.1765
63.85	72
63.90	54.1177
63.95	43.2
64.00	54.1177
64.05	62.4
64.10	44.7059
64.15	30.5882
64.20	49.4118
64.25	28.2353
64.30	55.3846
64.35	37.6471
64.40	28.2353
64.45	46.1539
64.50	58.8235
64.55	30
64.60	34.6154
64.65	44.7059
64.70	55.3846
64.75	47.0588
64.80	52.8
64.85	40
64.90	48.4615
64.95	48.4615
65.00	46.1539
65.05	43.8462
65.10	48.4615
65.15	50.7692
65.20	46.1539
65.25	68.2353
65.30	43.0189
65.35	50.7692
65.40	46.1539
65.45	64.6154
65.50	36.2264
65.55	36.9231
65.60	39.2308
65.65	50.7692
65.70	66.9231
65.75	71.5385
65.80	41.5385
65.85	54.1177
65.90	55.3846
65.95	34.6154
66.00	35.2941
66.05	60
66.10	49.8113
66.15	29.434
66.20	36.2264
66.25	41.5385
66.30	48.75
66.35	49.4118
66.40	49.4118
66.45	56.4706
66.50	42.3529
66.55	46.1539
66.60	50.7692
66.65	48.4615
66.70	57.6923
66.75	36.2264
66.80	48.4615
66.85	45.283
66.90	45.283
66.95	60
67.00	43.0189
67.05	41.5385
67.10	47.0588
67.15	43.8462
67.20	50.4
67.25	47.0588
67.30	30
67.35	48.4615
67.40	48.4615
67.45	27.6923
67.50	46.1539
67.55	66.9231
67.60	53.0769
67.65	39.2308
67.70	43.8462
67.75	43.8462
67.80	36.9231
67.85	39.2308
67.90	20.7692
67.95	41.5385
68.00	42.3529
68.05	40
68.10	34.6154
68.15	43.0189
68.20	56.4706
68.25	39.2308
68.30	39.2308
68.35	39.2308
68.40	34.6154
68.45	27.6923
68.50	53.0769
68.55	44.7059
68.60	32.3077
68.65	18.4615
68.70	50.7692
68.75	36.9231
68.80	40
68.85	32.3077
68.90	39.2308
68.95	42.3529
69.00	43.8462
69.05	50.7692
69.10	43.8462
69.15	25.3846
69.20	27.1698
69.25	36.9231
69.30	39.2308
69.35	23.0769
69.40	39.2308
69.45	32.3077
69.50	18.4615
69.55	11.5385
69.60	16.4706
69.65	25.8824
69.70	20.7692
69.75	25.8824
69.80	16.1538
69.85	34.6154
69.90	23.0769
69.95	25.3846
70.00	36.9231
70.05	43.8462
70.10	41.5385
70.15	20.7692
70.20	25.3846
70.25	32.3077
70.30	34.6154
70.35	20.7692
70.40	9.41177
70.45	20.7692
70.50	30
70.55	48.4615
70.60	20.7692
70.65	25.3846
70.70	27.6923
70.75	27.6923
70.80	18.4615
70.85	36.9231
70.90	23.5294
70.95	27.6923
71.00	28.2353
71.05	40.7547
71.10	25.3846
71.15	23.5294
71.20	20.7692
71.25	21.1765
71.30	55.3846
71.35	36.9231
71.40	32.3077
71.45	35.2941
71.50	39.2308
71.55	20.7692
71.60	30
71.65	30
71.70	36.2264
71.75	13.8462
71.80	32.9412
71.85	25.3846
71.90	32.3077
71.95	41.5385
72.00	34.6154
72.05	18.8235
72.10	23.0769
72.15	23.5294
72.20	23.5294
72.25	36.9231
72.30	32.3077
72.35	27.6923
72.40	34.6154
72.45	20.7692
72.50	41.5385
72.55	30
72.60	39.2308
72.65	40
72.70	27.6923
72.75	34.6154
72.80	37.6471
72.85	39.2308
72.90	32.9412
72.95	27.6923
73.00	36.9231
73.05	32.3077
73.10	13.8462
73.15	36.9231
73.20	30
73.25	30
73.30	36.9231
73.35	30
73.40	23.5294
73.45	42.3529
73.50	32.3077
73.55	44.7059
73.60	25.3846
73.65	41.5385
73.70	28.2353
73.75	30
73.80	27.1698
73.85	27.1698
73.90	15.8491
73.95	40.7547
74.00	27.1698
74.05	29.434
74.10	31.6981
74.15	60
74.20	27.6923
74.25	25.8824
74.30	27.6923
74.35	20.7692
74.40	41.5385
74.45	34.6154
74.50	30.5882
74.55	27.6923
74.60	25.8824
74.65	36.9231
74.70	27.6923
74.75	30
74.80	35.2941
74.85	31.6981
74.90	28.2353
74.95	39.2308
75.00	25.3846
75.05	27.6923
75.10	37.6471
75.15	32.3077
75.20	30.5882
75.25	50.7692
75.30	27.6923
75.35	25.8824
75.40	25.3846
75.45	27.6923
75.50	25.3846
75.55	23.0769
75.60	25.3846
75.65	27.1698
75.70	35.2941
75.75	32.3077
75.80	41.5385
75.85	43.8462
75.90	32.9412
75.95	23.0769
76.00	35.2941
76.05	16.1538
76.10	25.3846
76.15	30.5882
76.20	32.3077
76.25	21.1765
76.30	20.7692
76.35	32.3077
76.40	32.3077
76.45	46.1539
76.50	32.3077
76.55	30
76.60	20.7692
76.65	30
76.70	35.2941
76.75	18.4615
76.80	27.6923
76.85	16.1538
76.90	32.3077
76.95	32.9412
77.00	20.7692
77.05	37.6471
77.10	27.6923
77.15	30
77.20	20.7692
77.25	35.2941
77.30	46.1539
77.35	32.3077
77.40	39.2308
77.45	30
77.50	18.4615
77.55	23.5294
77.60	20.7692
77.65	43.8462
77.70	32.9412
77.75	25.3846
77.80	25.3846
77.85	23.5294
77.90	27.6923
77.95	30
78.00	20.7692
78.05	33.9623
78.10	39.2308
78.15	27.6923
78.20	44.7059
78.25	23.0769
78.30	32.3077
78.35	21.1765
78.40	20.7692
78.45	21.1765
78.50	23.0769
78.55	35.2941
78.60	23.0769
78.65	34.6154
78.70	21.1765
78.75	60
78.80	20.7692
78.85	30
78.90	34.6154
78.95	32.3077
79.00	36.9231
79.05	18.4615
79.10	41.5385
79.15	37.6471
79.20	46.1539
79.25	18.4615
79.30	34.6154
79.35	36.9231
79.40	21.1765
79.45	27.6923
79.50	30.5882
79.55	27.6923
79.60	25.3846
79.65	16.1538
79.70	32.3077
79.75	37.6471
79.80	25.3846
79.85	31.6981
79.90	25.8824
79.95	39.2308
80.00	18.4615
80.05	21.1765
80.10	34.6154
80.15	23.0769
80.20	37.6471
80.25	27.6923
80.30	20.7692
80.35	40
80.40	32.3077
80.45	38.4906
80.50	48.4615
80.55	34.6154
80.60	23.0769
80.65	27.6923
80.70	36.9231
80.75	20.7692
80.80	35.2941
80.85	23.0769
80.90	18.8235
80.95	25.3846
81.00	25.8824
81.05	23.0769
81.10	25.3846
81.15	27.6923
81.20	37.6471
81.25	25.3846
81.30	36.9231
81.35	36.2264
