Depth	Azimuth	Dip
m	deg	deg
135.56	105.11	74.69
135.58	211.89	20.92
135.92	233.43	19.25
135.97	236.55	20.61
136.01	229.55	26.29
136.1	235.55	25.76
136.12	232.4	25.11
136.83	89.15	84.62
136.99	7.88	23.98
137.07	7.64	22.06
137.63	347.7	27.63
138.01	30.42	27.27
138.29	51.16	36.92
139.24	229.92	35.3
139.27	228.97	36.97
139.29	211.52	37.17
140.06	268.63	66.74
140.39	78.86	28.55
140.43	89.22	30.93
140.47	281.84	39.08
140.56	280.12	33.42
140.6	288.86	47.55
140.63	283.24	46.07
140.68	302.6	36.7
140.92	306.22	38.68
140.97	148.99	40.68
141.01	283.83	26.75
141.35	276.07	24.86
141.82	309.97	24.15
141.84	288.03	28.78
141.94	289.66	26
141.98	264.03	23.81
142.1	39.6	63.63
142.15	285.62	22.4
142.42	57.1	66.11
142.44	53.5	55.37
142.57	46.79	41.01
142.83	14.95	59.25
142.92	350.5	60.59
143.12	153.03	39.03
143.31	5.45	22.98
143.33	251.48	19.2
143.5	2.96	42.78
143.57	13.18	51.02
144.83	72.66	52.19
145.15	19.8	44.58
145.19	17.52	41.77
145.31	14.66	60.63
145.32	20.2	39.06
145.79	327.18	8.72
146.3	46.62	71.74
146.52	207.67	21.31
147.37	297.8	74.3
148.06	45.76	68.49
148.85	136.43	33.83
149	18.13	49.65
149.16	159.75	24.07
