Depth	Temperature
m	'C
19.35	22.9707
19.40	22.9639
19.45	22.9575
19.50	22.9504
19.55	22.9458
19.60	22.9363
19.65	22.9304
19.70	22.9249
19.75	22.9177
19.80	22.9109
19.85	22.9053
19.90	22.8975
19.95	22.8904
20.00	22.8852
20.05	22.8789
20.10	22.8717
20.15	22.865
20.20	22.8576
20.25	22.8517
20.30	22.8464
20.35	22.8374
20.40	22.8321
20.45	22.826
20.50	22.8191
20.55	22.8124
20.60	22.8074
20.65	22.7994
20.70	22.7938
20.75	22.7856
20.80	22.7796
20.85	22.774
20.90	22.7661
20.95	22.7606
21.00	22.753
21.05	22.7467
21.10	22.7407
21.15	22.7362
21.20	22.7301
21.25	22.723
21.30	22.7168
21.35	22.7099
21.40	22.7048
21.45	22.6986
21.50	22.6917
21.55	22.6867
21.60	22.679
21.65	22.6757
21.70	22.6692
21.75	22.6618
21.80	22.6575
21.85	22.6512
21.90	22.6434
21.95	22.6379
22.00	22.6329
22.05	22.6264
22.10	22.6203
22.15	22.6136
22.20	22.6088
22.25	22.6027
22.30	22.5963
22.35	22.5897
22.40	22.5841
22.45	22.5791
22.50	22.574
22.55	22.5674
22.60	22.5625
22.65	22.5552
22.70	22.5487
22.75	22.5437
22.80	22.537
22.85	22.5332
22.90	22.5263
22.95	22.5202
23.00	22.5137
23.05	22.5081
23.10	22.5038
23.15	22.4972
23.20	22.4926
23.25	22.485
23.30	22.4789
23.35	22.4762
23.40	22.47
23.45	22.4626
23.50	22.4588
23.55	22.45
23.60	22.446
23.65	22.4403
23.70	22.4344
23.75	22.4282
23.80	22.4241
23.85	22.4169
23.90	22.412
23.95	22.4064
24.00	22.4
24.05	22.393
24.10	22.3891
24.15	22.3826
24.20	22.3767
24.25	22.3718
24.30	22.3662
24.35	22.359
24.40	22.3539
24.45	22.3491
24.50	22.3418
24.55	22.3379
24.60	22.3324
24.65	22.3273
24.70	22.322
24.75	22.3152
24.80	22.3096
24.85	22.3053
24.90	22.2999
24.95	22.2932
25.00	22.2896
25.05	22.2823
25.10	22.2771
25.15	22.2726
25.20	22.2675
25.25	22.2607
25.30	22.2565
25.35	22.2509
25.40	22.2467
25.45	22.2404
25.50	22.2346
25.55	22.2301
25.60	22.2234
25.65	22.2196
25.70	22.2134
25.75	22.2091
25.80	22.2026
25.85	22.1982
25.90	22.1916
25.95	22.1874
26.00	22.1841
26.05	22.1765
26.10	22.173
26.15	22.168
26.20	22.1626
26.25	22.1575
26.30	22.1546
26.35	22.1474
26.40	22.1444
26.45	22.1386
26.50	22.1345
26.55	22.1281
26.60	22.1239
26.65	22.1196
26.70	22.1148
26.75	22.1099
26.80	22.1047
26.85	22.0998
26.90	22.0958
26.95	22.0896
27.00	22.0863
27.05	22.0816
27.10	22.0774
27.15	22.0735
27.20	22.0698
27.25	22.0633
27.30	22.06
27.35	22.0571
27.40	22.0512
27.45	22.0467
27.50	22.0424
27.55	22.0371
27.60	22.0354
27.65	22.0307
27.70	22.0262
27.75	22.0218
27.80	22.0173
27.85	22.0128
27.90	22.0085
27.95	22.0048
28.00	22.0015
28.05	21.9976
28.10	21.9932
28.15	21.9886
28.20	21.9842
28.25	21.9799
28.30	21.9764
28.35	21.9715
28.40	21.9677
28.45	21.9649
28.50	21.9613
28.55	21.957
28.60	21.9521
28.65	21.9477
28.70	21.9448
28.75	21.9405
28.80	21.9379
28.85	21.9339
28.90	21.9285
28.95	21.9277
29.00	21.9227
29.05	21.9196
29.10	21.9152
29.15	21.9124
29.20	21.9083
29.25	21.9039
29.30	21.9016
29.35	21.8972
29.40	21.8941
29.45	21.8913
29.50	21.8877
29.55	21.8842
29.60	21.8817
29.65	21.8798
29.70	21.8773
29.75	21.8739
29.80	21.8729
29.85	21.8698
29.90	21.8655
29.95	21.8628
30.00	21.8598
30.05	21.8592
30.10	21.8532
30.15	21.8534
30.20	21.8496
30.25	21.8459
30.30	21.8436
30.35	21.8388
30.40	21.8366
30.45	21.8333
30.50	21.8314
30.55	21.8277
30.60	21.8233
30.65	21.8211
30.70	21.8181
30.75	21.8153
30.80	21.8114
30.85	21.8074
30.90	21.8045
30.95	21.8007
31.00	21.7979
31.05	21.7954
31.10	21.7926
31.15	21.7879
31.20	21.785
31.25	21.7818
31.30	21.7799
31.35	21.3504
31.40	20.278
31.45	20.1251
31.50	20.0799
31.55	20.0629
31.60	20.0284
31.65	20.0145
31.70	19.9937
31.75	19.9722
31.80	19.9497
31.85	19.9305
31.90	19.9156
31.95	19.8991
32.00	19.8861
32.05	19.8742
32.10	19.8628
32.15	19.8504
32.20	19.8404
32.25	19.8343
32.30	19.8246
32.35	19.8142
32.40	19.8095
32.45	19.8051
32.50	19.8007
32.55	19.7944
32.60	19.7896
32.65	19.7875
32.70	19.7837
32.75	19.7808
32.80	19.7772
32.85	19.7747
32.90	19.7737
32.95	19.7709
33.00	19.7671
33.05	19.7648
33.10	19.7626
33.15	19.7616
33.20	19.7609
33.25	19.7585
33.30	19.7582
33.35	19.7567
33.40	19.7559
33.45	19.7532
33.50	19.7499
